Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;43;42, -0.157, -1.295, 12.125, 4.000, 0.26, 68, 250, 906, 23, 18, 0, 9, 256
06;43;44, 0.392, -1.099, 8.986, 5.000, 0.26, 68, 250, 847, 21, 18, 0, 8, 235
06;43;47, 0.863, -0.157, 9.928, 4.000, 0.26, 68, 250, 846, 12, 18, 0, 8, 233
06;43;49, -0.118, 1.648, 10.124, 5.000, 0.65, 68, 250, 812, 6, 18, 0, 11, 419
06;43;51, -0.667, 1.805, 10.124, 5.000, 0.04, 68, 250, 1734, 16, 18, 0, 10, 256
06;43;54, -4.316, 1.687, 8.554, 5.000, 0.74, 68, 250, 986, 16, 19, 0, 13, 554
06;43;56, -4.866, 2.197, 7.887, 4.000, 0.61, 68, 250, 1451, 23, 19, 0, 20, 756
06;43;58, -0.039, 0.039, 9.496, 3.000, 0.13, 68, 250, 1119, 30, 18, 0, 9, 250
06;44;01, -0.667, 0.981, 9.732, 4.000, 0.77, 68, 250, 1199, 30, 19, 0, 14, 598
06;44;03, -0.746, 0.706, 11.811, 5.000, 0.59, 68, 250, 1392, 35, 18, 0, 16, 457
06;44;05, 0.118, -0.785, 13.459, 4.000, 0.00, 68, 250, 1406, 36, 18, 0, 14, 239
06;44;08, 0.549, -0.667, 9.732, 5.000, 0.05, 69, 250, 1228, 32, 18, 0, 9, 240
06;44;10, 0.196, -0.824, 10.399, 5.000, 0.26, 69, 250, 854, 25, 18, 0, 8, 234
06;44;12, 1.138, -2.040, 10.163, 3.000, 0.25, 69, 250, 849, 9, 18, 0, 8, 234
06;44;15, 0.000, 0.392, 10.006, 4.000, 0.25, 69, 250, 737, 0, 18, 0, 6, 219
06;44;17, -0.039, 0.235, 9.928, 5.000, 0.25, 69, 250, 751, 0, 19, 0, 7, 217
06;44;19, -0.118, 0.432, 9.261, 4.000, 0.26, 69, 250, 744, 0, 19, 0, 11, 384
06;44;22, -0.981, 0.706, 8.986, 4.000, 0.67, 69, 250, 1317, 9, 19, 0, 21, 808
06;44;24, 0.863, 0.157, 10.830, 4.000, 0.00, 69, 250, 1315, 21, 19, 0, 12, 315
06;44;26, -1.413, 0.157, 10.399, 4.000, 0.75, 69, 250, 1559, 25, 19, 0, 23, 853
06;44;29, -0.628, 0.353, 8.829, 5.000, 0.16, 69, 250, 2119, 36, 19, 0, 24, 240
06;44;31, 1.256, -0.039, 11.301, 4.000, 0.15, 70, 250, 1815, 30, 19, 0, 21, 527
06;44;33, 1.177, 0.510, 10.830, 6.000, 0.20, 70, 250, 1741, 29, 19, 0, 20, 389
06;44;36, -2.354, -0.471, 9.692, 3.000, 0.63, 70, 250, 1802, 29, 18, 0, 28, 811
06;44;38, -1.530, 0.628, 9.496, 4.000, 0.06, 70, 250, 2090, 38, 19, 0, 15, 241
06;44;40, 0.000, -0.510, 11.380, 6.000, 0.31, 70, 250, 1441, 36, 19, 0, 16, 351
06;44;43, 0.981, -0.196, 11.105, 4.000, 0.00, 71, 250, 1286, 33, 19, 0, 13, 235
06;44;45, 0.942, -0.078, 10.516, 3.000, 0.00, 71, 250, 1102, 28, 19, 0, 11, 234
06;44;47, 0.471, -0.118, 9.888, 5.000, 0.25, 71, 250, 854, 25, 19, 0, 8, 236
06;44;49, 0.667, 0.471, 10.909, 5.000, 0.24, 71, 250, 848, 22, 19, 0, 8, 234
